sentiment,message,tweetid
2,RT @RawStory: Researchers say we have three years to act on climate change before it’s too late https://t.co/WdT0KdUr2f https://t.co/Z0ANPT…,698562
1,"RT @makeandmendlife: Six big things we can ALL do today to fight climate change, or how to be a climate activistÃ¢â‚¬Â¦ https://t.co/TYMLu6DbNM hÃ¢â‚¬Â¦",992717
1,RT @paigetweedy: no offense… but like… how do you just not believe… in global warming………,260471
0,"we also met this guy, he let us in on some truth about climate change and gay people not existing https://t.co/Q7yOMcMZaj",67545
2,Bangladesh confronting climate change head on https://t.co/MTqeNBQDUt https://t.co/itgkUxgEfg,365291
1,RT @StarTalkRadio: First: The public understands climate change better than Congress. Why? #JohnHoldren @CoryBooker @neiltyson explain: htt…,354015
2,RT @Independent: Trump's team removed climate change data from the White House website. They may be breaking the law…,526603
1,"RT @DeboraheHart: Toxic soils, aquifers, vast amts of wasted (+ waste) water, runaway climate change - what part of gas fracking don'…",362709
1,RT @ForAmerica: They protested in support of climate change at the #WomansMarch and then did their part to help the environment... https://…,303380
2,2050 climate targets: nations are playing the long game in fighting global warming https://t.co/dnegw2vfJd via @ConversationEDU,8984
2,RT @TheTorontoSun: From @sunlorrie: Indian environmentalist calls out DiCaprio in his own documentary on climate change.Ã¢â‚¬Â¦,741568
1,"RT @kelkulus: Irony: Florida, a state in danger of being washed away due to rising sea levels, just elected a guy who denies climate changeÃ¢â‚¬Â¦",771000
0,@GlennF They are calling to the great Space Cylinder to save them from global warming.,113396
1,RT @MotherJones: Here are the races to watch if you care about global warming https://t.co/89HIKYSg3R https://t.co/syXKddd6xE,978125
1,"RT @USHRN: As we fight for human rights, we're also facing the disastrous impacts of climate change. https://t.co/Q9AG2ex1OQ…",179066
1,RT @savingoceans: Lack of #climate change action can potentially hurt future #fishermen jobs. https://t.co/5MD2qw4VtC,695439
1,“Yet another Trump advisor is clueless on climate change” by @climateprogress https://t.co/ApAmIIBdJJ,894382
2,U.S. environmental agency chief says humans contribute to global warming - https://t.co/aSsz4eszXs,554354
1,"RT @SethMacFarlane: Are we looking at an America that officially believes climate change is a hoax? Sorry, everybody else.",513782
1,"RT @Kloppholic: Imagine trying to convince yourself that global warming isn't real and instead a conspiracy. Wake up, before it's tÃ¢â‚¬Â¦",137383
2,"Labour, budgeting and climate change (2) - The Punch https://t.co/Mby8DEK6cv  - #ClimateChange",257727
0,@zachheltzel People who believe in climate change also generally refuse to say that trans isn't real out loud so... You're no better.,234729
1,"RT @SamJamesVelde: It's 90 degrees in early November in Los Angeles, but you know ....according to Trump global warming and climate changeÃ¢â‚¬Â¦",739085
1,RT @GeographerJay: Trump wants to end NASA climate change research as real estate markets start to slump due to climate change https://t.co…,740611
-1,RT @CharlieDaniels: I'm not worried about global warming but I'm terrified about global government.,565424
1,"RT @JeffDSachs: CNN panelists erupt over climate change - CNN Video Time to call out lies of Trump, Koch Brothers, and Heritage. https://t.…",656841
0,"RT @jinjjarevil: the way seokjin blinks is so adorable 
global warming stops
trees grow 
crime rate decreases https://t.co/Tz5a5alrva",451759
1,@SteveEngland300 Have u considered doing a piece about it in your column Steve? Inform ppl re impact of climate change on species &amp; habitats,217803
0,"Quiz on US cultural heritage-climate change! (disclaimer: I don't agree w. all the answers, but still interesting) https://t.co/4jeJNwgnXq",476001
0,@PuffnPuffin @SteveMartinToGo @BillNye @BumfOnline Could someone link me the journal for his reviewed article on climate change? Isnt one?,5172
1,RT @HawaiiDelilah: So Trump went to Ivanka and a reporter for insights on climate change. Not scientists. Two women with no expertis…,552813
1,RT @1957AJB: We knock ourselves out over Brexit and Trump but I think climate change will bury both of those issues-But I really hope I'm w…,15147
2,RT @thehill: Rahm Emanuel posts climate change webpage deleted by Trump administration https://t.co/Nhk4nVsUC1 https://t.co/tOmKxl3OWa,893985
-1,"Agreed! Man-made climate change is a man-made hoax, innit? https://t.co/4nbiKg6tdz",245892
2,Stephen Hawking has a message for Trump: Don't ignore climate change https://t.co/7bA3rBoHk9 https://t.co/uIQWwGz0pB,878308
2,RT @telesurenglish: One of Jamaica’s iconic beaches is vanishing thanks to climate change. https://t.co/2lNoLT7MzM…,141981
-1,"RT @Mike_Beacham: Fed scientist cooked climate change books ahead of Obama presentation 
#NoMoreSCAMS
#NoMoreDEMOCRATS
#DrainTheSwamp 
http…",687404
1,Effects of climate change https://t.co/6eYTZtqLoW,993534
2,"RT @NZaegel: Effects of climate change may 'wreak havoc' on mental health, doctors say https://t.co/kHhJ9L0nwU via @upi",857614
1,RT @GlblCtzn: When you hear Trump's new EPA director says carbon doesn't cause climate change. https://t.co/ThkNOUK8D1 https://t.co/mX8vpQu…,259331
0,"RT @SenatorMRoberts: How much global warming will #Finkel blueprint stop by 2100?

None? So why would we de-industrialise our economy fo…",444500
2,RT @business: China tells Trump climate change isn't a hoax it invented https://t.co/eWVQtI28t3 https://t.co/7qV3RfzTTE,646282
0,RT @PrisionPlaneta: @ScottAdamsSays scientists and studies. just as global warming. Only that they choose to show us the ones they like htt…,555811
2,RT @Energydesk: Exxon shareholders have moved to force the company to disclose the risk climate change poses to its business…,682129
1,"RT @MobilizeClimate: We must stop treating the effects of climate change as some far off doomsday. They are here, they are now.

https://t.…",720815
1,RT @UNEP: How to boost funding for developing countries to adapt to the effects of climate change is a key issue at #COP22:Ã¢â‚¬Â¦,711708
0,RT @PetraAu: More than 190 countries just subtweeted Trump on global warming https://t.co/N5x8YJ4Uln,320131
0,"RT @lianamaeby: Well on the plus side, climate change isn't real anymore.",155745
0,RT @SimonWest26: Brilliant cartoon sums up @realDonaldTrump decision to cancel @BarackObama climate change policies! #itisreal…,357739
-1,RT @Uniocracy: They'll tell you theyre doing it to save you from global warming. Theyre lying https://t.co/PRFpiM7pyj #OpChemtrails,529327
-1,@NobamaDotCom @LibbyRafferty @BIZPACReview Funny how the left scream their allegiance to 'science' on global warming but not this issue.,49204
-1,Natural climate change wins man-made climate change 10 - 0!! https://t.co/A1aP0wIv1Q https://t.co/A1aP0wIv1Q,716256
1,RT @savingoceans: Wondering about climate change and how it impacts our #oceans? Check out #ClimateChange 101 with @BillNye https://t.co/Io…,76586
